Neutralization	Sulphate	Ammonium	TimeSeries	Altitude_m
			3511796233.789062	1916.9
0.66592574	0.43638021	0.11312735	3511796246.601562	1886.3
			3511796277.164062	1815.5
0.6831013	0.37706316	0.10147862	3511796289.96875	1788
			3511796320.484375	1722.8
0.67954713	0.26328525	0.06846524	3511796333.210938	1688.8
			3511796363.820312	1613.8
0.72986543	0.46314779	0.13187955	3511796376.546875	1588.3
			3511796407.015625	1514.7
0.58227396	0.21551545	0.048456393	3511796419.695312	1491.4
			3511796450.125	1419.6
0.42398784	1.3413925	0.21425155	3511796462.8125	1396.3
			3511796493.367188	1318.8
0.5629673	1.814284	0.3856948	3511796506.21875	1286.7
			3511796536.820312	1214.2
0.55075747	0.6479497	0.13539128	3511796549.632812	1182.9
			3511796580.179688	1093.5
0.26237512	1.4573134	0.14380333	3511796592.945312	1059.7
			3511796623.507812	1011.5
0.28275704	2.3845921	0.25462541	3511796636.273438	984.8
			3511796666.820312	934.4
0.31734189	2.3403556	0.28213158	3511796679.5	911.8
			3511796710.132812	841
0.27840462	2.0403872	0.21403252	3511796722.921875	816.1
			3511796753.4375	752
0.21288495	2.1367531	0.17550185	3511796766.164062	723.6
			3511796796.71875	659.9
0.34970933	2.6299481	0.35080889	3511796809.398438	629.4
			3511796839.984375	557.3
0.42129916	0.5856849	0.09264788	3511796852.75	525.7
			3511796883.273438	450.8
0.16513143	2.1181097	0.13446854	3511796896.25	419.1
			3511796926.820312	353.4
0.20877212	0.79750228	0.06359724	3511796939.640625	330.9
			3511796970.15625	266.2
0.23463067	0.87742382	0.080415748	3511796982.835938	247.3
			3511797013.554688	190.7
0.17138231	0.99111319	0.065699749	3511797026.375	168.4
			3511797057.09375	108.2
0.17273216	0.97135442	0.063399263	3511797069.84375	88.40000000000001
			3511797100.367188	73
			3511797113.078125	71.3
			3511797143.625	77.90000000000001
			3511797156.515625	75.2
			3511797187.117188	70.7
			3511797199.789062	69.09999999999999
			3511797230.296875	65.5
			3511797243.03125	74.59999999999999
			3511797273.671875	73.3
			3511797286.453125	72
			3511797316.953125	88.7
			3511797329.632812	79.5
			3511797360.117188	74.40000000000001
			3511797372.820312	72.90000000000001
			3511797403.453125	77.2
			3511797416.257812	74.8
			3511797446.75	79.90000000000001
			3511797459.4375	84.2
			3511797489.921875	80.2
0.14599128	1.0844082	0.063589551	3511797502.632812	80.5
			3511797533.171875	82.90000000000001
