YYYY/MM/DD	HH:mm:ss	[B712 Basic Meteorology] Dynamic Pressure 4	[B712 Basic Meteorology] Humicap 4	[B712 Basic Meteorology] Humicap 4	[B712 Basic Meteorology] Static Pressure Fast 3	[B712 Basic Meteorology] Total Air Temperature Deiced 4
		Dynamic Pressure Raw	Relative Humidity Raw	Temperature raw	Static Pressure Fast Raw	Total Air Temperature deiced Raw
		Spot	Spot	Spot	Spot	Spot
		V	A	A	V	Ohm
2015/04/13	16:40:55.000000	3.676	0.003079	0.003027	1.524	90.990
2015/04/13	16:40:56.000000	3.652	0.003079	0.003036	1.525	90.984
2015/04/13	16:40:57.000000	3.675	0.003082	0.003038	1.525	90.986
2015/04/13	16:40:58.000000	3.694	0.003080	0.003035	1.525	90.992
2015/04/13	16:40:59.000000	3.701	0.003081	0.003035	1.525	90.987
2015/04/13	16:41:00.000000	3.694	0.003080	0.003034	1.525	90.991
2015/04/13	16:41:01.000000	3.695	0.003082	0.003032	1.524	90.989
2015/04/13	16:41:02.000000	3.675	0.003090	0.003033	1.525	90.999
2015/04/13	16:41:03.000000	3.729	0.003089	0.003037	1.524	90.995
2015/04/13	16:41:04.000000	3.726	0.003088	0.003036	1.524	91.003
2015/04/13	16:41:05.000000	3.739	0.003088	0.003044	1.525	91.000
2015/04/13	16:41:06.000000	3.713	0.003091	0.003044	1.529	91.013
2015/04/13	16:41:07.000000	3.708	0.003089	0.003041	1.529	91.011
2015/04/13	16:41:08.000000	3.703	0.003091	0.003038	1.531	91.021
2015/04/13	16:41:09.000000	3.718	0.003091	0.003033	1.532	91.015
2015/04/13	16:41:10.000000	3.700	0.003084	0.003032	1.533	91.019
2015/04/13	16:41:11.000000	3.715	0.003084	0.003032	1.533	91.025
2015/04/13	16:41:12.000000	3.701	0.003082	0.003032	1.536	91.033
2015/04/13	16:41:13.000000	3.703	0.003081	0.003036	1.538	91.036
2015/04/13	16:41:14.000000	3.717	0.003084	0.003040	1.539	91.043
2015/04/13	16:41:15.000000	3.683	0.003087	0.003048	1.541	91.048
2015/04/13	16:41:16.000000	3.713	0.003087	0.003046	1.540	91.043
2015/04/13	16:41:17.000000	3.713	0.003088	0.003051	1.542	91.051
2015/04/13	16:41:18.000000	3.726	0.003089	0.003060	1.542	91.053
2015/04/13	16:41:19.000000	3.723	0.003087	0.003061	1.544	91.069
2015/04/13	16:41:20.000000	3.724	0.003077	0.003064	1.547	91.066
2015/04/13	16:41:21.000000	3.698	0.003078	0.003061	1.554	91.075
2015/04/13	16:41:22.000000	3.669	0.003061	0.003065	1.552	91.068
2015/04/13	16:41:23.000000	3.704	0.003067	0.003061	1.554	91.083
2015/04/13	16:41:24.000000	3.708	0.003063	0.003065	1.553	91.088
2015/04/13	16:41:25.000000	3.696	0.003055	0.003067	1.555	91.095
2015/04/13	16:41:26.000000	3.682	0.003050	0.003070	1.557	91.102
2015/04/13	16:41:27.000000	3.715	0.003045	0.003074	1.557	91.105
2015/04/13	16:41:28.000000	3.761	0.003040	0.003077	1.557	91.120
2015/04/13	16:41:29.000000	3.744	0.003031	0.003081	1.562	91.130
2015/04/13	16:41:30.000000	3.681	0.003022	0.003088	1.565	91.136
2015/04/13	16:41:31.000000	3.714	0.003021	0.003084	1.572	91.151
2015/04/13	16:41:32.000000	3.769	0.003008	0.003083	1.570	91.166
2015/04/13	16:41:33.000000	3.802	0.002997	0.003084	1.570	91.177
2015/04/13	16:41:34.000000	3.793	0.002996	0.003093	1.571	91.180
2015/04/13	16:41:35.000000	3.807	0.002991	0.003102	1.577	91.192
2015/04/13	16:41:36.000000	3.803	0.002987	0.003105	1.577	91.192
2015/04/13	16:41:37.000000	3.778	0.002969	0.003102	1.579	91.210
2015/04/13	16:41:38.000000	3.808	0.002971	0.003103	1.581	91.220
2015/04/13	16:41:39.000000	3.837	0.002958	0.003106	1.582	91.235
2015/04/13	16:41:40.000000	3.887	0.002946	0.003112	1.584	91.239
2015/04/13	16:41:41.000000	3.874	0.002943	0.003115	1.585	91.249
2015/04/13	16:41:42.000000	3.856	0.002929	0.003117	1.588	91.254
2015/04/13	16:41:43.000000	3.875	0.002927	0.003121	1.593	91.267
2015/04/13	16:41:44.000000	3.887	0.002913	0.003121	1.593	91.276
2015/04/13	16:41:45.000000	3.899	0.002902	0.003129	1.594	91.287
2015/04/13	16:41:46.000000	3.923	0.002900	0.003126	1.596	91.292
2015/04/13	16:41:47.000000	3.927	0.002892	0.003129	1.597	91.296
2015/04/13	16:41:48.000000	3.950	0.002880	0.003138	1.598	91.305
2015/04/13	16:41:49.000000	3.941	0.002871	0.003133	1.599	91.316
2015/04/13	16:41:50.000000	3.928	0.002865	0.003139	1.602	91.326
2015/04/13	16:41:51.000000	3.968	0.002856	0.003141	1.604	91.333
